URL,Status Code,Response Message,Domain Status,Expiration Date,For Sale,Response Time
https://www.dreamhotels.com/hollywood,200.0,OK,Fresh,2024-05-18 18:16:13,No,0.635109
http://www.gratefuldogs.net/,403.0,Forbidden,Fresh,2027-02-07 02:09:49,No,1.00332
http://www.hotelnormandiela.com/,200.0,OK,Fresh,2031-06-03 00:43:03,No,0.799263
https://www.marriott.com/hotels/travel/laxla-aloft-el-segundo-los-angeles-airport/?y_source=1_MjY2NDQyNy00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.684699
https://www.hilton.com/en/hotels/laxthdt-doubletree-torrance-south-bay,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.759507
https://foursquare.com/v/ucla-campus-gateway/4bd26d8b77b29c7447dd8e82,200.0,OK,Fresh,2025-03-26 00:18:55,No,1.34887
https://www.marriott.com/hotels/travel/laxbv-beverly-hills-marriott/?y_source=1_MjQ3MjI4MS00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.689257
https://www.hilton.com/en/hotels/smocahx-hampton-suites-santa-monica,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.979312
http://www.livehollywoodproper.com/,200.0,OK,Fresh,2024-08-04 15:13:42,No,0.843091
https://www.palisociety.com/hotels/culver-city,200.0,OK,Fresh,2027-11-16 07:31:16,No,0.988224
https://www.choicehotels.com/california/lomita/quality-inn-hotels/cae98?mc=llyxyxpx,,,Fresh,2025-02-24 05:00:00,No,21.15199
https://www.marriott.com/hotels/travel/laxmb-marina-del-rey-marriott/?y_source=1_NzQ4MDU3LTQ0MC1sb2NhdGlvbi53ZWJzaXRl,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.818315
https://www.hyatt.com/en-US/hotel/california/hyatt-place-los-angeles-lax-el-segundo/laxze,429.0,Too Many Requests,Fresh,2025-02-14 05:00:00,No,1.139899
http://www.orchidsuites.com/,404.0,Not Found,For Sale,2025-05-22 18:08:50,Yes,0.796475
http://themacarthur.com/,403.0,Forbidden,Fresh,2024-03-14 06:08:00,No,0.815302
https://pendryresidencesweho.com/,403.0,Forbidden,Fresh,2027-07-31 18:05:42,No,1.066092
https://www.hilton.com/en/hotels/buruchf-hilton-los-angeles-universal-city,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.72999
http://www.veniceonthebeachhotel.com/,200.0,OK,Fresh,2024-08-28 03:59:59,No,0.771354
https://www.hilton.com/en/hotels/laxhthx-hampton-los-angeles-intl-airport-hawthorne,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.756078
https://www.leparcsuites.com/,200.0,OK,Fresh,2024-05-03 04:00:00,No,3.363017
http://www.ayreshotels.com/,200.0,OK,Fresh,2032-12-12 01:16:23,No,2.143841
https://www.innatvenicebeach.com/,200.0,OK,Fresh,2028-07-02 04:00:00,No,2.786655
http://www.pacificahotels.com/marinadelreyhotel/?chebs=local-marinadelreyhotel,404.0,Not Found,Fresh,2028-07-02 23:47:55,No,1.20613
https://www.marriott.com/hotels/travel/laxab-ac-hotel-beverly-hills,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.700375
